FECHA,TONELADAS DISPUESTAS,ACUMULADO,LUGAR DE ORIGEN,LUGAR DE DISPOSICIÓN
09/09/2024 12:00:00 AM,3.79,1034.64,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/09/2024 12:00:00 AM,7.96,1042.6,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/13/2024 12:00:00 AM,7.8,1050.4,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/14/2024 12:00:00 AM,6.1,1056.5,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/16/2024 12:00:00 AM,7.76,1064.26,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/17/2024 12:00:00 AM,4.6,1068.86,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/18/2024 12:00:00 AM,5.03,1073.89,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/20/2024 12:00:00 AM,8.19,1082.08,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/21/2024 12:00:00 AM,4.78,1086.86,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/23/2024 12:00:00 AM,7.06,1093.92,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/24/2024 12:00:00 AM,5.51,1099.43,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/27/2024 12:00:00 AM,7.79,1107.22,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/28/2024 12:00:00 AM,5.7,1112.92,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/30/2024 12:00:00 AM,6.45,1119.37,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
