TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
603,Laguna 4 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604287,444,247.68400814
603,Laguna del Rebosadero,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607183,445,34516.94103982
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,446,382359.42550173
603,Laguna 5 Sector Q. Piedra Gorda,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609506,447,1494.6543569
602,Canal,RURAL,2120,Río Bogotá,212019,Río Chicú,,ND,,,,,448,3834.88738258
601,Río Manzanares,RURAL,3502,Río Guayuriba,350230,Río Manzanares,,ND,,,,,449,364988.23855568
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,450,539.14304651
601,Río Pozo,RURAL,3502,Río Guayuriba,350219,Río Pozo,,ND,,,,,451,24683.59285803
603,Laguna,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,452,3624.03524039
603,Laguna,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,,,,,453,6640.74735781
603,Laguna,RURAL,3502,Río Guayuriba,350211,Río Negro Parte Alta,,ND,,,,,454,8769.20753607
603,Laguna,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,455,385.07758727
603,Laguna 16 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604299,456,647.32156192
603,Laguna,RURAL,3503,Río Guatiquía,350305,Río Guajaro,,ND,,,,,457,3279.81917165
603,Laguna,RURAL,3502,Río Guayuriba,350216,Quebrada Jaboncillo,,ND,,,,,458,9173.56307663
603,Laguna 3 Sector Q. Cuevecitas,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200606,Interfluvios Río Chisaca,,,,21200606154,459,291.86397708
601,Río Gazamumo,RURAL,3505,Río Humea,350506,Río Gazamumo,,ND,, Area M2: 3362510,,,460,3363126.24601246
603,Lago Club El Rancho 7,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,461,6009.86744234
603,Laguna 7 Sector R. Curubital,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609501,462,374.56868264
603,Laguna,RURAL,3502,Río Guayuriba,350219,Río Blanco - Choachi,,ND,,,,,463,4949.45690397
603,Laguna,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,464,1353.90878625
603,Lago Club Pueblo Viejo 3,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,465,397.56495758
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,466,276.5684664
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,467,461.47938198
603,Laguna,RURAL,2120,Río Bogotá,212004,Sector Salto - Soacha,,ND,,,,,468,26960.88937976
606,Quebrada La Plata,RURAL,3502,Río Guayuriba,350223,Río Chochal,,ND,,,,,469,30621.0926499
603,Laguna Sector Q. La Quinta,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200610,Quebrada de Fucha,,,,21200610115,470,215.07686699
603,Laguna Verde,RURAL,3503,Río Guatiquía,350301,Río Chuza - Embalse de Chuza,,ND,,,,,471,50483.68838414
603,Laguna,RURAL,3503,Río Guatiquía,350306,Quebrada Blanca,,ND,,,,,472,6141.00546794
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,473,500.62322848
603,Laguna 4 Sector Q. Cuevecitas,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200606,Interfluvios Río Chisaca,,,,21200606155,474,1418.87378589
603,Laguna 2 Sector Q. Cuevecitas,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200606,Interfluvios Río Chisaca,,,,21200606153,475,610.68396013
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,476,20777.1633645
606,Quebrada Moncovita,RURAL,3506,Río Guavio,350612,Río Murca,,ND,,,,,477,86356.10572003
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,478,1141.39059114
