FID;CODIGO_ID;COMPONENTE;CATEGORIA;ELEMENTO;AREA_AMBIE;NOMBRE_TOT;ACTO_ADMIN;NORMATIVA;OBSERVACIO;ACOTAMIENT;FECHA_CAPT;RESPONSABL;REGLAID;Shape_Leng;Shape_Area
1064;9352;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Hueco Hondo;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2916,243224;80983,1719
1065;9354;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Hueco Hondo;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2693,830995;93884,63355
1066;9389;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Jericó;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1527,129;41930,31916
1067;9390;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Jericó;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;3106,027614;94293,81366
1068;9391;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Aguadita;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;802,5818478;20182,25968
1069;9457;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Mirla;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2911,528363;91837,29975
1070;9458;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Mirla;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;354,5814466;7321,426221
1071;9459;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Mirla;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1064,764112;28186,83972
1072;9302;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1161,560884;31080,7625
1073;9303;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2518,957982;72083,20139
1074;9304;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1084,996819;29066,32959
1075;9305;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;923,7396699;24139,55174
1076;9353;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Hueco Hondo;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2288,488748;60738,46356
